source,id,formula,band_gap,n_refractive_index,k_extinction_coefficient,estimated_reflectance,has_ir_data,formation_energy_per_atom,density,spillage,priority,mie_qscat_800nm,lime_compatible
JARVIS,JVASP-9154,TiO2,2.599,2.8336078298404903,0.0,0.2287691944041055,False,,,,MEDIUM,4.709286866275742,False
JARVIS,JVASP-30522,MgTi4O9,2.79,2.632780532694158,0.0,0.2020120632162228,False,,,,MEDIUM,4.1739813230059895,False
JARVIS,JVASP-50839,YZr5O11,3.99,2.614294041100452,0.0,0.1994887108707053,False,,,0.007,HIGH,4.0550866985922145,False
JARVIS,JVASP-116323,MgTiO3,2.715,2.558280672639341,0.0,0.1917833784616523,False,,,,MEDIUM,3.666325908219672,False
JARVIS,JVASP-45504,CaTiO3,2.821,2.543173870055552,0.0,0.1896901556785034,False,,,,MEDIUM,3.5588199771029383,True
MP,mp-5020,BaTiO3,2.5526999999999997,2.56811230385589,0.0169636458701115,0.1931604905296323,True,-3.4922369876666663,5.899610412612441,,MEDIUM,3.531935637925133,False
JARVIS,JVASP-50852,ZrTiO4,2.916,2.516657836629101,0.0,0.1860008796220535,False,,,,MEDIUM,3.3716306743181925,False
JARVIS,JVASP-9178,ZrO2,3.557,2.4898862089126346,0.0,0.1822567690524478,False,,,,HIGH,3.1872040714677827,False
JARVIS,JVASP-49573,Y2Ti2O7,3.115,2.46134109785702,0.0,0.1782437861754375,False,,,,MEDIUM,2.997849327377551,False
JARVIS,JVASP-56648,BaWO4,2.926,2.4264102428622136,0.0,0.1733046351023749,True,,,,MEDIUM,2.777904318212338,False
JARVIS,JVASP-50093,TiNbO4,2.792,7.278836903425345,0.0,0.5752011564114787,False,,,0.654,MEDIUM,2.751626771024888,False
JARVIS,JVASP-30720,TiW2O8,3.013,2.396149689258443,0.0,0.169001406862243,False,,,,MEDIUM,2.5979086355796928,False
JARVIS,JVASP-50727,YZr4O9,4.504,4.68859253934483,0.0,0.4204474397463873,False,,,,HIGH,2.554792656493029,False
JARVIS,JVASP-11324,Mg2Ti3O8,2.993,2.3791805311913596,0.0,0.1665786917999658,False,,,,MEDIUM,2.500986146009756,False
JARVIS,JVASP-12885,MgTi2O5,3.224,2.3640783968952186,0.0,0.1644168963135713,False,,,,MEDIUM,2.4169568364041663,False
JARVIS,JVASP-11695,MgWO4,4.178,2.340178055903724,0.0,0.1609851320003307,False,,,0.019,HIGH,2.287868849677482,False
JARVIS,JVASP-9459,Ca2Ti3O8,3.267,2.321745033374681,0.0,0.1583298446602018,False,,,,MEDIUM,2.191216557209969,True
JARVIS,JVASP-9796,Ba3MgNb2O9,3.361,2.320093388924966,0.0,0.1580915699968125,False,,,,MEDIUM,2.18266830578913,False
JARVIS,JVASP-9714,YNbO4,4.13,2.3194683298836685,0.0,0.158001380781886,False,,,,HIGH,2.179437828255362,False
JARVIS,JVASP-115221,MgZrO3,3.095,2.308007798946962,0.0,0.1563463033960851,False,,,,MEDIUM,2.1206378949855873,False
MP,mp-4163,Ca3Ti2O7,2.5302,2.3037928342916016,0.0,0.1557369144113928,True,-3.511848975138888,3.7913819106038513,,MEDIUM,2.099210147180008,True
MP,mp-3834,BaZrO3,3.0441000000000003,2.307766781126549,0.008176485441219,0.1563166226413142,True,-3.6391689690000018,6.143794300871015,,MEDIUM,2.074739101345193,False
MP,mp-1182867,AlWO4,2.9802999999999997,2.455524057753448,0.1561564914400356,0.1790998341257498,True,-2.682709359999999,7.674028363314099,,MEDIUM,2.029182144855289,False
JARVIS,JVASP-87169,Ba2MgWO6,3.688,2.287618849371547,0.0,0.1533951850830125,False,,,,HIGH,2.0178981602504287,False
JARVIS,JVASP-11802,Ba2CaWO6,3.872,2.2849215887348664,0.0,0.1530041594153408,False,,,0.019,HIGH,2.00447097453949,True
JARVIS,JVASP-44052,Mg3WO6,4.134,2.2708295107001466,0.0,0.150958915661707,False,,,,MEDIUM,1.9348873489599907,False
JARVIS,JVASP-10104,Ba2YNbO6,3.608,2.25055548698538,0.0,0.1480098997523143,False,,,,MEDIUM,1.83630445563888,False
MP,mp-1228131,Ba4Nb2WO12,2.7361644693840868,2.2232137668999203,0.0,0.1440212254418583,False,-3.1034034157894737,6.476315085976606,,MEDIUM,1.7058244353819212,False
MP,mp-1214569,Ba3CaNb2O9,2.646343132441039,2.2011687887726072,0.0,0.1407961988553825,False,-3.303183195000001,5.64950637916084,,MEDIUM,1.6024262082290286,True
JARVIS,JVASP-11013,CaTi2O5,3.455,2.199765138978856,0.0,0.1405905961093943,False,,,,MEDIUM,1.5958934048498292,True
